Make,Variant,Length (ft),Geographic Region,Country/Region/State ,Listing Price (USD),Year,IsCatamarans,LOA,LWL,Beam,SA,Draft,Displacement,GDP,Gini,YearDis
Hanse,470e,47,USA,Connecticut,249000,2008,0,14.31,12.6,4.46,110.18,2.35,12200,80016.86,49.3,12
Jeanneau,Sun Odyssey 50 DS,49,USA,Connecticut,285000,2010,0,15.07,13.12,4.49,101.1,2.15,13400,80016.86,49.3,10
Moody,45 Classic,46,USA,Connecticut,285000,2014,0,14.03,12.2,4.2,123.38,2.2,11500,80016.86,49.3,6
Sabre,426,42,USA,Connecticut,325000,2008,0,12.95,10.97,4.09,85.47,2.08,10886,80016.86,49.3,12
Tartan,4400,45,USA,Connecticut,349000,2009,0,13.72,11.43,4.3,87.61,1.68,10886,80016.86,49.3,11
Elan,450,44,USA,Connecticut,349900,2013,0,13.6,12.52,4.36,94.58,2.25,11302,80016.86,49.3,7
Hylas,46,46,USA,Connecticut,439000,2010,0,14.1,12.19,4.19,108.7,1.98,12599,80016.86,49.3,10
X-Yachts,Xp 44,44,USA,Connecticut,475000,2012,0,13.88,11.89,4.07,105.91,2.3,8650,80016.86,49.3,8
Beneteau,Oceanis 55,55,USA,Connecticut,525000,2015,0,16.79,15.16,4.95,134.71,2.21,16695,80016.86,49.3,5
X-Yachts,Xp 44,44,USA,Connecticut,575000,2016,0,13.88,11.89,4.07,105.91,2.3,8650,80016.86,49.3,4
Beneteau,Cyclades 39.3,39,USA,Florida,72900,2005,0,11.97,10.67,3.95,59.37,1.9,7095,51601.01,48.43,15
Bavaria,39 Cruiser,39,USA,Florida,85900,2007,0,11.94,10.72,3.96,82.68,1.85,8283,51601.01,48.43,13
Bavaria,39 Cruiser,39,USA,Florida,93693,2008,0,11.94,10.72,3.96,82.68,1.85,8283,51601.01,48.43,12
Hunter,380,37,USA,Florida,109000,2006,0,11.35,9.75,3.83,68.75,1.52,7257,51601.01,48.43,14
Beneteau,Oceanis 43,43,USA,Florida,110900,2009,0,13.15,11.75,3.94,79.9,1.7,8845,51601.01,48.43,11
Hunter,38,38,USA,Florida,119000,2005,0,11.63,10.57,3.94,92.07,1.98,8320,51601.01,48.43,15
Bavaria,46 Cruiser,46,USA,Florida,129900,2007,0,14.27,12.74,4.35,107.95,2.1,12600,51601.01,48.43,13
Jeanneau,Sun Odyssey 39i,39,USA,Florida,129990,2008,0,11.86,10.71,3.88,62.25,2,7330,51601.01,48.43,12
Jeanneau,Sun Odyssey 39i,39,USA,Florida,132790,2008,0,11.86,10.71,3.88,62.25,2,7330,51601.01,48.43,12
Hunter,41 DS,40,USA,Florida,135000,2008,0,12.29,10.82,4.04,72.37,1.98,8800,51601.01,48.43,12
Beneteau,Oceanis 423,43,USA,Florida,138900,2007,0,13.15,11.75,3.94,79.9,1.7,8845,51601.01,48.43,13
Catalina,400 MK II,40,USA,Florida,145000,2006,0,12.65,11.13,4.11,75.07,2.11,8936,51601.01,48.43,14
Beneteau,Cyclades 50.5,51,USA,Florida,149900,2007,0,15.65,13.18,4.9,99.13,2,12680,51601.01,48.43,13
Hunter,41 DS,40,USA,Florida,150000,2009,0,12.29,10.82,4.04,72.37,1.98,8800,51601.01,48.43,11
Beneteau,43,43,USA,Florida,154000,2008,0,13.11,11.61,4.11,86.77,1.65,8875,51601.01,48.43,12
Jeanneau,Sun Odyssey 389,38,USA,Florida,155000,2016,0,11.73,10.39,3.76,70.05,1.98,6920,51601.01,48.43,4
Beneteau,43,43,USA,Florida,159500,2008,0,13.11,11.61,4.11,86.77,1.65,8875,51601.01,48.43,12
Hunter,44,44,USA,Florida,163000,2006,0,15.15,13.28,7.15,125.3,3,9390,51601.01,48.43,14
Beneteau,Oceanis 40,40,USA,Florida,165000,2009,0,12.15,10.35,3.91,63.27,1.9,8260,51601.01,48.43,11
Jeanneau,Sun Odyssey 389,38,USA,Florida,165000,2016,0,11.73,10.39,3.76,70.05,1.98,6920,51601.01,48.43,4
Jeanneau,Sun Odyssey 42i,42,USA,Florida,168717,2007,0,12.85,11.6,4.13,70.79,2.13,8410,51601.01,48.43,13
Jeanneau,Sun Odyssey 45,45,USA,Florida,169000,2006,0,13.72,11.61,4.37,100.6,2.05,9900,51601.01,48.43,14
Jeanneau,Sun Odyssey 49 DS,49,USA,Florida,169000,2007,0,14.98,12.9,4.99,90.77,2.15,12701,51601.01,48.43,13
Island Packet,370,38,USA,Florida,169900,2005,0,11.53,9.45,3.99,75.62,1.3,9525,51601.01,48.43,15
Jeanneau,Sun Odyssey 49 DS,49,USA,Florida,175000,2006,0,14.98,12.9,4.99,90.77,2.15,12701,51601.01,48.43,14
Jeanneau,Sun Odyssey 42 DS,42,USA,Florida,175000,2007,0,12.93,11.6,4.13,71.35,2.13,8925,51601.01,48.43,13
Hunter,45 DS,45,USA,Florida,189900,2012,0,13.66,11.94,4.42,77.39,1.98,10404,51601.01,48.43,8
Beneteau,Oceanis 46,47,USA,Florida,199000,2008,0,14.4,12.2,4.25,81.57,2.05,10565,51601.01,48.43,12
Jeanneau,Sun Odyssey 45 DS,45,USA,Florida,199000,2012,0,13.75,11.45,4.37,99.6,2.05,9900,51601.01,48.43,8
Jeanneau,Sun Odyssey 449,45,USA,Florida,199000,2017,0,13.74,11.99,4.22,90.95,2.19,9640,51601.01,48.43,3
Nautitech,402,40,USA,Florida,199990,2006,1,12.09,12.09,6.48,86.96,1.19,7400,51601.01,48.43,14
Beneteau,Oceanis 41,40,USA,Florida,210000,2013,0,12.38,11.3,4.2,83.8,2.05,8450,51601.01,48.43,7
Leopard,40,39,USA,Florida,215500,2006,1,12.4,10,3.83,72.46,1.92,9480,51601.01,48.43,14
Lagoon,380,38,USA,Florida,219000,2005,1,11.55,11,6.53,77.02,1.15,7260,51601.01,48.43,15
Catalina,Morgan 440,46,USA,Florida,219000,2006,0,14,12.37,4.27,86.59,1.52,11579,51601.01,48.43,14
Hunter,49,50,USA,Florida,225000,2007,0,15.22,13.36,4.5,118.64,1.68,14884,51601.01,48.43,13
Fountaine Pajot,Bahia 46,46,USA,Florida,229000,2005,1,14.05,14,7.4,120.96,1.3,9700,51601.01,48.43,15
Lagoon,380,38,USA,Florida,229000,2008,1,11.55,11,6.53,77.02,1.15,7260,51601.01,48.43,12
Jeanneau,Sun Odyssey 41DS,40,USA,Florida,229000,2013,0,12.32,11,3.99,74.6,2.08,8770,51601.01,48.43,7
Hanse,415,40,USA,Florida,229000,2014,0,12.4,11.4,4.17,83.52,2.1,8900,51601.01,48.43,6
Salona,S41,41,USA,Florida,230000,2015,0,12.5,11.45,3.84,111.02,2.25,7450,51601.01,48.43,5
Lagoon,410,40.5,USA,Florida,235000,2005,1,12.37,11.67,8,88.91,1.2,7240,51601.01,48.43,15
Beneteau,Oceanis 49,49,USA,Florida,238000,2008,0,12.15,10.35,3.91,63.27,1.9,8260,51601.01,48.43,12
Hunter,50,50,USA,Florida,239239,2009,0,15.22,13.36,4.5,118.64,2.13,13338,51601.01,48.43,11
Jeanneau,Sun Odyessy 41DS,40,USA,Florida,249900,2015,0,12.32,11,3.99,74.6,2.08,8770,51601.01,48.43,5
Hunter,50 Center Cockpit,50,USA,Florida,250000,2010,0,11.98,11.94,6.91,90.95,1.35,8502,51601.01,48.43,10
Caliber,40 LRC SE,41,USA,Florida,259000,2005,0,12.47,9.91,3.86,68.66,1.55,9798,51601.01,48.43,15
Lagoon,39,38,USA,Florida,264000,2014,1,11.7,11.12,6.79,75.9,1.27,11672,51601.01,48.43,6
Beneteau,Oceanis 49,49,USA,Florida,269000,2007,0,12.15,10.35,3.91,63.27,1.9,8260,51601.01,48.43,13
Fountaine Pajot,Belize 43,42.65,USA,Florida,275000,2006,1,13,12,7,110.93,1.3,8600,51601.01,48.43,14
Jeanneau,Sun Odyssey 49 DS,49,USA,Florida,278165,2006,0,14.98,12.9,4.99,90.77,2.15,12701,51601.01,48.43,14
Beneteau,523,53,USA,Florida,279000,2007,0,16.25,14.63,4.88,150.87,2.35,14000,51601.01,48.43,13
Lagoon,420,41,USA,Florida,280000,2009,1,12.6,12.29,7.49,75.16,1.27,7276,51601.01,48.43,11
Lagoon,420,41,USA,Florida,280000,2009,1,12.6,12.29,7.49,75.16,1.27,7276,51601.01,48.43,11
Hunter,AC 50,50,USA,Florida,280000,2010,0,15.22,13.36,4.5,118.64,2.13,13338,51601.01,48.43,10
Sabre,426,42,USA,Florida,285000,2006,0,12.95,10.97,4.09,85.47,2.08,10886,51601.01,48.43,14
Catalina,470,47,USA,Florida,285000,2008,0,14.53,12.8,4.27,93.83,2.39,12247,51601.01,48.43,12
Lagoon,440,44.6,USA,Florida,294000,2007,1,13.61,12.75,7.7,79.9,1.3,12150,51601.01,48.43,13
Chris White,MastFoil 40,40,USA,Florida,295000,2016,1,11.9,10,3.91,76.02,1.8,8000,51601.01,48.43,4
Catalina,445,44,USA,Florida,298000,2014,0,13.54,11.68,4.14,79.53,2.11,10659,51601.01,48.43,6
Jeanneau,Sun Odyssey 53,53,USA,Florida,299000,2010,0,13.72,11.61,4.37,100.6,2.05,9900,51601.01,48.43,10
Jeanneau,469,47,USA,Florida,299000,2015,0,13.99,12.99,4.25,123.93,2.6,10700,51601.01,48.43,5
Catalina,445,44,USA,Florida,299900,2014,0,13.54,11.68,4.14,79.53,2.11,10659,51601.01,48.43,6
Island Packet,420,44,USA,Florida,299950,2005,0,13.59,11.38,4.34,85.84,1.52,13608,51601.01,48.43,15
Fountaine Pajot,Orana 44,43,USA,Florida,300000,2009,1,13.1,13.1,7.35,109.9,1.1,9800,51601.01,48.43,11
Lagoon,420,41,USA,Florida,309000,2009,1,12.6,12.29,7.49,75.16,1.27,7276,51601.01,48.43,11
Caliber,47 LRC SE,48,USA,Florida,309950,2008,0,14.81,12.04,4.01,94.2,1.57,14969,51601.01,48.43,12
Lagoon,440,44.6,USA,Florida,320000,2005,1,13.61,12.75,7.7,79.9,1.3,12150,51601.01,48.43,15
Lagoon,440,44.6,USA,Florida,320000,2005,1,13.61,12.75,7.7,79.9,1.3,12150,51601.01,48.43,15
Seawind,1160,38,USA,Florida,329950,2010,1,11.6,11.3,6.5,74.97,1.1,7000,51601.01,48.43,10
Dufour,500 GL,49,Europe,Norway,278177,2015,0,15.1,13.67,4.8,100.71,2.3,15245,75719,30.6,5
Nauticat,441,44,Europe,Norway,475361,2010,0,13.65,11.25,3.75,86.1,1.9,16500,75719,30.6,10
Lagoon,39,38,USA,Florida,335000,2016,1,11.7,11.12,6.79,75.9,1.27,11672,51601.01,48.43,4
Leopard,39,37.5,USA,Florida,339000,2011,1,11.43,10.97,6.02,92.07,1.04,9126,51601.01,48.43,9
Leopard,39,37.5,USA,Florida,339000,2011,1,11.43,10.97,6.02,92.07,1.04,9126,51601.01,48.43,9
Caliber,47 LRC SE,48,USA,Florida,339950,2007,0,14.81,12.04,4.01,94.2,1.57,14969,51601.01,48.43,13
Lagoon,440,44.6,USA,Florida,349000,2006,1,13.61,12.75,7.7,79.9,1.3,12150,51601.01,48.43,14
Lagoon,440,44.6,USA,Florida,349000,2007,1,13.61,12.75,7.7,79.9,1.3,12150,51601.01,48.43,13
Island Packet,440,45,USA,Florida,350000,2006,0,13.94,11.61,4.37,105.07,1.52,14515,51601.01,48.43,14
Jeanneau,Sun Odyssey 509,50,USA,Florida,350000,2015,0,15.38,13.92,4.69,113.9,2.28,13900,51601.01,48.43,5
Hylas,46,46,USA,Florida,360000,2007,0,14.1,12.19,4.19,108.7,1.98,12599,51601.01,48.43,13
Jeanneau,Sun Odyssey 53,53,USA,Florida,364800,2014,0,13.72,11.61,4.37,100.6,2.05,9900,51601.01,48.43,6
Lagoon,420,41,USA,Florida,375000,2008,1,12.6,12.29,7.49,75.16,1.27,7276,51601.01,48.43,12
Elan,Impression 45,44,USA,Florida,375000,2018,0,13.85,11.44,4.18,99.26,1.9,10900,51601.01,48.43,2
Leopard,46,46,USA,Florida,385000,2008,1,14.53,11.3,4.11,99.96,3.08,14515,51601.01,48.43,12
Fountaine Pajot,Orana 44,43,USA,Florida,390000,2010,1,13.1,13.1,7.35,109.9,1.1,9800,51601.01,48.43,10
Lagoon,420,41,USA,Florida,396000,2008,1,12.6,12.29,7.49,75.16,1.27,7276,51601.01,48.43,12
Fountaine Pajot,Helia 44,43.6,USA,Florida,399000,2016,1,13.3,12.64,7.4,69.96,1.15,10800,51601.01,48.43,4
Fountaine Pajot,Helia 44,43.6,USA,Florida,399000,2016,1,13.3,12.64,7.4,69.96,1.15,10800,51601.01,48.43,4
Lagoon,500,51,USA,Florida,425000,2009,1,15.54,14.94,8.53,110.83,1.4,17603,51601.01,48.43,11
Jeanneau,Sun Odyssey 440,42,USA,Florida,425000,2019,0,13,12,4.29,78.22,2.2,8561,51601.01,48.43,1
Lagoon,400,39,USA,Florida,429000,2016,1,11.97,11.45,7.25,83.89,1.21,10220,51601.01,48.43,4
Lagoon,420,49,USA,Florida,435000,2007,1,12.6,12.29,7.49,75.16,1.27,7276,51601.01,48.43,13
Leopard,46,46,USA,Florida,449000,2008,1,14.53,11.3,4.11,99.96,3.08,14515,51601.01,48.43,12
Bali,4.3,43,USA,Florida,449000,2015,1,13.1,12.6,7.12,93.83,0.95,11300,51601.01,48.43,5
Bali,4,40,USA,Florida,449000,2018,1,12.12,11.88,6.72,105.4,1.12,8900,51601.01,48.43,2
Fountaine Pajot,Helia 44,43.6,USA,Florida,450000,2017,1,13.3,12.64,7.4,69.96,1.15,10800,51601.01,48.43,3
Leopard,44,42.5,USA,Florida,459000,2011,1,12.98,12.7,7.25,122.91,1.27,12615,51601.01,48.43,9
Leopard,44,42.5,USA,Florida,459000,2011,1,12.98,12.7,7.25,122.91,1.27,12615,51601.01,48.43,9
Lagoon,450,45.8,USA,Florida,459950,2012,1,13.96,13.26,7.87,129.88,1.3,15003,51601.01,48.43,8
Leopard,46,46,USA,Florida,480000,2011,1,14.53,11.3,4.11,99.96,3.08,14515,51601.01,48.43,9
Fountaine Pajot,Salina 48,47,USA,Florida,485000,2014,1,14.3,13.59,7.8,130.99,1.1,10841,51601.01,48.43,6
Tartan,4300,43,USA,Florida,485000,2017,0,13.13,11.54,3.81,92.35,2.51,9877,51601.01,48.43,3
Antares,44i,44,USA,Florida,495000,2010,1,13.41,13.26,6.63,78.87,1.22,10206,51601.01,48.43,10
Fountaine Pajot,Lucia 40 Owner's Version,39,USA,Florida,495000,2017,1,11.9,10,3.91,76.02,1.8,8000,51601.01,48.43,3
Lagoon,450F,45.8,USA,Florida,499000,2011,1,13.96,13.26,7.87,129.88,1.3,15003,51601.01,48.43,9
Lagoon,450F,45.8,USA,Florida,499000,2011,1,13.96,13.26,7.87,129.88,1.3,15003,51601.01,48.43,9
Beneteau,Oceanis 55,55,USA,Florida,499000,2015,0,16.79,15.16,4.95,134.71,2.21,16695,51601.01,48.43,5
Fountaine Pajot,Astrea 42,41,USA,Florida,499000,2019,1,12.58,11.95,7.2,64.94,1.25,11500,51601.01,48.43,1
Maine Cat,41,41.6,USA,Florida,499900,2016,1,12.65,12.34,7.01,92.53,2.13,5534,51601.01,48.43,4
Lagoon,450,45.8,USA,Florida,510000,2013,1,13.96,13.26,7.87,129.88,1.3,15003,51601.01,48.43,7
Antares,44i,44,USA,Florida,525000,2010,1,13.41,13.26,6.63,78.87,1.22,10206,51601.01,48.43,10
Fountaine Pajot,Helia 44,43.6,USA,Florida,535000,2014,1,13.3,12.64,7.4,69.96,1.15,10800,51601.01,48.43,6
Leopard,44,42.5,USA,Florida,567000,2015,1,12.98,12.7,7.25,122.91,1.27,12615,51601.01,48.43,5
Leopard,44,42.5,USA,Florida,567000,2015,1,12.98,12.7,7.25,122.91,1.27,12615,51601.01,48.43,5
Leopard,44,42.5,USA,Florida,569000,2015,1,12.98,12.7,7.25,122.91,1.27,12615,51601.01,48.43,5
Leopard,44,42.5,USA,Florida,569000,2015,1,12.98,12.7,7.25,122.91,1.27,12615,51601.01,48.43,5
Seawind,1260,41,USA,Florida,595000,2018,1,12.45,12.45,6.8,94.2,1.16,8200,51601.01,48.43,2
